,AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
735,39820,"Redding, CA",4,CA,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,50,14.1,0.774,0.72,0,0,51.99,108130,6,28.73,36.06,45.88,63.45,81.46,59750,75010,95430,131980,169430,0,0
736,39900,"Reno, NV",4,NV,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,150,26.9,0.617,0.57,0,0,47.36,98520,7,29.6,38.59,41.16,52.03,66.08,61560,80260,85610,108220,137450,0,0
737,40060,"Richmond, VA",4,VA,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,680,6.3,1.081,1,0,0,61.01,126890,1.3,30.92,41.04,57.69,79.18,104.08,64310,85370,120000,164690,216490,0,0
738,40140,"Riverside-San Bernardino-Ontario, CA",4,CA,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,650,9.5,0.4,0.37,0,0,52.6,109410,4.8,27.87,35.47,48.9,63.33,83.96,57970,73770,101700,131720,174630,0,0
739,40220,"Roanoke, VA",4,VA,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,50,13.6,0.33,0.31,0,0,39.79,82770,2.9,21.87,28.19,39.61,50.55,59.77,45500,58630,82390,105140,124330,0,0
740,40340,"Rochester, MN",4,MN,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,40,16.6,0.355,0.33,0,0,49.13,102200,4.9,27.21,40.21,52.02,54.1,67.25,56590,83630,108200,112520,139880,0,0
741,40380,"Rochester, NY",4,NY,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,550,8.4,1.134,1.05,0,0,46.04,95770,3.2,21.66,31.3,43.25,58.4,71.08,45050,65100,89950,121460,147840,0,0
742,40420,"Rockford, IL",4,IL,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,60,15.7,0.471,0.44,0,0,44.65,92870,4.1,23.29,29.23,45.94,51.21,63.52,48430,60800,95560,106520,132130,0,0
743,40900,"Sacramento--Roseville--Arden-Arcade, CA",4,CA,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,2250,6.4,2.184,2.02,0,0,50.7,105450,3.9,32.6,39.15,43.59,59.39,80.41,67810,81430,90660,123530,167250,0,0
744,41100,"St. George, UT",4,UT,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,50,11.9,0.649,0.6,0,0,39.42,82000,7.6,18.65,25.61,41.93,46.84,56.66,38800,53260,87210,97430,117850,0,0
